distance_m,method,search_seed,range_rcrb_m,angle_rcrb_deg,physical_crb_trace,minimum_achieved_rate,minimum_rate_margin,transmit_power_margin,validation_passed,wall_seconds,fitness_evaluations,solver_calls,infeasible_evaluations,waveform_file
10.0,hybrid-two-stage-sdr,,0.04391749338404082,0.000996362797470302,0.0019287465275428088,5.000000059443213,5.944321301853961e-08,1.0361986824136693e-08,True,0.14552260000027673,1,1,0,distance_10m/hybrid-two-stage-sdr.npz
15.0,fully-digital-sdr,,0.020172062124670088,0.00024037473260350652,0.0004069121079623477,5.000000019421373,1.9421372954298022e-08,3.6842493500444107e-09,True,1.831595500000276,1,1,0,distance_15m/fully-digital-sdr.npz
15.0,hybrid-de-sdr,101,0.08117407088626007,0.0012246607949715138,0.00658923024111097,5.000000013234272,1.3234272344675446e-08,6.808676289438154e-09,True,72.04597180000019,252,250,17,distance_15m/hybrid-de-sdr_seed_101.npz
15.0,hybrid-de-sdr,202,0.07849418400294136,0.001201039402093926,0.006161337361696917,5.000000024682685,2.468268522903827e-08,1.0965337082780025e-08,True,74.817814,252,249,13,distance_15m/hybrid-de-sdr_seed_202.npz
15.0,hybrid-de-sdr,303,0.08244200581104753,0.001239992679227299,0.00679668479052301,5.0000000011056205,1.1056204840542705e-09,2.5511042167636333e-09,True,70.01860959999976,252,251,15,distance_15m/hybrid-de-sdr_seed_303.npz
15.0,hybrid-pso-sdr,101,0.099727989155714,0.0009942658806997282,0.009945672122176218,5.000000013425512,1.3425512257470018e-08,2.391516318311915e-09,True,64.55320290000009,252,231,5,distance_15m/hybrid-pso-sdr_seed_101.npz
15.0,hybrid-pso-sdr,202,0.0799776217830459,0.0010821664500980824,0.006396420342804595,5.000000001387273,1.3872734072606363e-09,6.962750376260374e-10,True,68.62315290000015,252,250,7,distance_15m/hybrid-pso-sdr_seed_202.npz
15.0,hybrid-pso-sdr,303,0.07615087080656396,0.0013915030823151969,0.005798955714422865,5.000000038584297,3.8584296646604344e-08,1.2123734904889716e-08,True,65.72250010000016,252,250,5,distance_15m/hybrid-pso-sdr_seed_303.npz
15.0,hybrid-two-stage-sdr,,0.099727989155714,0.0009942658806997282,0.009945672122176218,5.000000013425512,1.3425512257470018e-08,2.391516318311915e-09,True,0.14422899999999572,1,1,0,distance_15m/hybrid-two-stage-sdr.npz
20.0,fully-digital-sdr,,0.03586695701492955,0.000240305654105872,0.0012864386231014873,5.0000002670086925,2.6700869248941217e-07,4.679313292399456e-08,True,1.8098651999998765,1,1,0,distance_20m/fully-digital-sdr.npz
20.0,hybrid-de-sdr,101,0.14531559266307825,0.001223877913867812,0.021116621927301155,5.00000000955389,9.55389012347041e-09,5.983480377835804e-09,True,71.86710640000001,252,250,17,distance_20m/hybrid-de-sdr_seed_101.npz
20.0,hybrid-de-sdr,202,0.13608614487302118,0.00166415520200831,0.01851943967001221,5.000000006758998,6.7589978058890665e-09,1.1825306955870474e-08,True,74.82446370000025,252,250,11,distance_20m/hybrid-de-sdr_seed_202.npz
20.0,hybrid-de-sdr,303,0.14682533551405552,0.0015467786026365448,0.021557679877619477,5.000000000713406,7.134062229852134e-10,2.9906743748142617e-09,True,69.58259749999979,252,251,20,distance_20m/hybrid-de-sdr_seed_303.npz
20.0,hybrid-pso-sdr,101,0.17749550257017713,0.0009962601199433399,0.03150465373498297,5.000000020315135,2.0315135351722802e-08,3.6880294373986544e-09,True,64.41242639999973,252,231,5,distance_20m/hybrid-pso-sdr_seed_101.npz
