distance_m,method,search_seed,generation,evaluations,best_objective,objective_over_original_hb
15.0,hybrid-pso-sdr,101,7,96,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,8,108,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,9,120,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,10,132,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,11,144,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,12,156,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,13,168,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,14,180,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,15,192,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,16,204,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,17,216,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,18,228,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,19,240,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,101,20,252,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,202,0,12,0.007373391909408987,0.7413668795588453
15.0,hybrid-pso-sdr,202,1,24,0.007030506373360712,0.7068910259721685
15.0,hybrid-pso-sdr,202,2,36,0.007030506373360712,0.7068910259721685
15.0,hybrid-pso-sdr,202,3,48,0.007030506373360712,0.7068910259721685
15.0,hybrid-pso-sdr,202,4,60,0.006932138876093211,0.697000543356405
15.0,hybrid-pso-sdr,202,5,72,0.006932138876093211,0.697000543356405
15.0,hybrid-pso-sdr,202,6,84,0.006932138876093211,0.697000543356405
15.0,hybrid-pso-sdr,202,7,96,0.006932138876093211,0.697000543356405
15.0,hybrid-pso-sdr,202,8,108,0.006932138876093211,0.697000543356405
15.0,hybrid-pso-sdr,202,9,120,0.0067423859735914315,0.6779216012706786
15.0,hybrid-pso-sdr,202,10,132,0.0067423859735914315,0.6779216012706786
15.0,hybrid-pso-sdr,202,11,144,0.006735180933563502,0.6771971615408731
15.0,hybrid-pso-sdr,202,12,156,0.00653613397455233,0.6571837369595098
15.0,hybrid-pso-sdr,202,13,168,0.006446136069681084,0.6481347854428967
15.0,hybrid-pso-sdr,202,14,180,0.006446136069681084,0.6481347854428967
15.0,hybrid-pso-sdr,202,15,192,0.006446136069681084,0.6481347854428967
15.0,hybrid-pso-sdr,202,16,204,0.006446136069681084,0.6481347854428967
15.0,hybrid-pso-sdr,202,17,216,0.0064395077051010875,0.6474683282647588
15.0,hybrid-pso-sdr,202,18,228,0.006416586693301681,0.6451637065651616
15.0,hybrid-pso-sdr,202,19,240,0.006416586693301681,0.6451637065651616
15.0,hybrid-pso-sdr,202,20,252,0.006396420341287492,0.6431360555670144
15.0,hybrid-pso-sdr,303,0,12,0.009945672126325049,1.0
15.0,hybrid-pso-sdr,303,1,24,0.009638156496674818,0.9690804577363583
15.0,hybrid-pso-sdr,303,2,36,0.009638156496674818,0.9690804577363583
15.0,hybrid-pso-sdr,303,3,48,0.007479198629454901,0.7520053481009417
15.0,hybrid-pso-sdr,303,4,60,0.006495953091908213,0.6531437000335225
15.0,hybrid-pso-sdr,303,5,72,0.006495953091908213,0.6531437000335225
